Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
LUPIN,MPHASIS,positive,0.64471626,-1100.0760405444166,-0.11100760405444161,-0.15914626515625652,0.23407624585783607,0.0,1,8889.923959455584
DRREDDY,MPHASIS,positive,0.6128598,-316.3651235411951,-0.042640650555130014,-0.07234607984918151,0.14679711127942927,0.36363636363636365,11,9573.5934944487
CIPLA,MPHASIS,positive,0.60264325,446.46031088832353,0.03958916307185282,0.20368229836027602,0.16321123894405212,0.6,5,10395.891630718528
WIPRO,DIVISLAB,positive,0.5867722,-2938.522767616359,-0.29485227676163595,-0.49825753971273384,0.4622025523984183,0.0,1,7051.4772323836405
AUROPHARMA,MPHASIS,positive,0.5838777,3380.907411162126,0.3335775451176953,0.9261949998346707,0.1712105741966648,0.75,4,13335.775451176953
ALKEM,MPHASIS,positive,0.554388,358.05397539544595,0.033739054461433625,0.18405665691642972,0.15377477924439908,0.5,2,10337.390544614336
LTIM,DIVISLAB,positive,0.54204005,4.290606917858213,-0.01992423500927107,0.006594167834070402,0.21105800596518998,0.7,20,9800.75764990729
ZYDUSLIFE,MPHASIS,positive,0.53681386,68.09024911102958,0.005809024911103006,0.10843600410542446,0.2500388073609091,1.0,1,10058.09024911103
SUNPHARMA,MPHASIS,positive,0.5324346,159.27986020695798,0.01492798602069579,0.13401511097598012,0.19023780515118235,1.0,1,10149.279860206958
DIVISLAB,MPHASIS,positive,0.5302678,-305.5452788984526,-0.033654919156634606,0.007035124943312497,0.26700034336569556,0.6666666666666666,3,9663.450808433654
SBIN,CIPLA,positive,0.5243265,-830.9564550407715,-0.09940316337939693,-0.21385259565301842,0.21067004010810725,0.35294117647058826,17,9005.96836620603
TECHM,DIVISLAB,positive,0.5150241,-1475.1454005192588,-0.1485145400519259,-0.16558836909093733,0.3891987320258601,0.0,1,8514.854599480741
HCLTECH,DIVISLAB,positive,0.513301,-1767.4945986714074,-0.1803039445602044,-0.473421558328151,0.31996308266479784,0.25,4,8196.960554397956
INFY,DIVISLAB,positive,0.48237196,-2128.462604900998,-0.2258769538561546,-0.7677100575231994,0.3275103244718826,0.5,16,7741.230461438454
HCLTECH,MPHASIS,positive,0.47611445,88.0341966248273,-0.018710669940445224,-0.016003283862868832,0.11091498495756916,0.2857142857142857,28,9812.893300595548
PERSISTENT,AXISBANK,positive,0.4713816,-867.5572492405944,-0.08775572492405936,-0.052554055403567224,0.40350414701255183,0.0,1,9122.442750759406
MPHASIS,DIVISLAB,positive,0.46968478,4418.856725616458,0.43734915187858714,1.1244888738543748,0.10525485764923,0.75,4,14373.491518785871
BIOCON,MPHASIS,positive,0.45927107,701.8745531853294,0.06918745531853292,0.26745560223735315,0.1827402791048152,1.0,1,10691.87455318533
MPHASIS,AXISBANK,positive,0.45504516,540.8011063950053,0.05308011063950053,0.2323858351215499,0.2581297364410824,1.0,1,10530.801106395005
INFY,AXISBANK,positive,0.44474974,-996.7904137175868,-0.1156969733272128,-0.5630841936427776,0.16727366525856635,0.35294117647058826,17,8843.030266727872
COFORGE,ICICIPRULI,negative,-0.4989549,2324.932422028478,0.21070845905083044,0.5318951335771398,0.2778593545956529,0.47368421052631576,19,12107.084590508304
BAJFINANCE,TCS,negative,-0.5006818,919.9669566866697,0.08985156112462336,0.33161860213938943,0.12323423269383353,0.5,2,10898.515611246234
PERSISTENT,LTIM,negative,-0.5011425,3542.6572393050924,0.350709545255659,0.7133343709525367,0.31790007351375077,1.0,3,13507.09545255659
ZYDUSLIFE,LTIM,negative,-0.51628613,1910.716382632841,0.1888203046735611,0.5326278170719908,0.31471354980055666,0.5,2,11888.20304673561
SBIN,LTIM,negative,-0.51804626,3957.068312147808,0.3935292013047172,0.9583424779098995,0.2796633864458301,1.0,2,13935.292013047172
WIPRO,TCS,negative,-0.5366437,-385.5663133907507,-0.0395566313390751,0.011070804230004009,0.26701486524218393,0.0,1,9604.433686609249
SUNPHARMA,TCS,negative,-0.5412146,-275.5012279666919,-0.029704950655396897,-0.031043012075067662,0.24921166716350804,0.5,2,9702.950493446031
ICICIBANK,LTIM,negative,-0.5419524,2272.207893824964,0.22501654248146824,0.7022222155631028,0.22269484070212395,1.0,2,12250.165424814682
AXISBANK,LTIM,negative,-0.54568315,2174.8576379958304,0.21540308917979237,0.6276060706101755,0.2555137828674164,1.0,2,12154.030891797924
ALKEM,TCS,negative,-0.55482155,-263.16136723147844,-0.030352037691524312,-0.008393410581508264,0.27479184578399724,0.5,4,9696.479623084757
LTIM,TCS,negative,-0.55735445,164.50853352017137,0.014431878217227313,0.139631116271827,0.32876953836793094,0.5,2,10144.318782172273
INFY,TORNTPHARM,negative,-0.5580423,3435.426462509673,0.3363769560115823,0.9566256018587724,0.18763689556938462,1.0,6,13363.769560115823
ZYDUSLIFE,TCS,negative,-0.5672767,48.439771782844616,0.0028250695895429088,0.09755820328292228,0.30723549647184833,0.5,2,10028.250695895429
WIPRO,TORNTPHARM,negative,-0.5740057,2965.521091379478,0.2943434605515264,0.7952519469660616,0.15933161460395623,1.0,2,12943.434605515264
TECHM,TCS,negative,-0.58369243,867.5597025044124,0.08450749063934308,0.3059077942348328,0.2779528940859224,0.5,2,10845.07490639343
BIOCON,TCS,negative,-0.58780074,459.14061952046177,0.04373059236145727,0.20937301337571762,0.24117305666950234,0.5,2,10437.305923614573
PERSISTENT,TCS,negative,-0.6034367,1442.916837453947,0.14329168374539478,0.40076631922047595,0.29380342690027994,1.0,1,11432.916837453948
COFORGE,TCS,negative,-0.6243738,211.1492503529621,0.018917663833141706,0.1581412987832935,0.3085271716748488,0.5,2,10189.176638331417
AUROPHARMA,TCS,negative,-0.63210577,-810.4849500957006,-0.08310255816182689,-0.15767908968044936,0.32536998619063195,0.5,2,9168.974418381731
LUPIN,LTIM,negative,-0.6708234,2986.63580812287,0.2963504219548302,0.7663740920290498,0.26493243884511786,0.5,2,12963.504219548302
