Pair,Pair_Type,Action,Bought,Sold,Timestamp,Step,Price_A,Price_B,Shares_A,Shares_B,Transaction_Cost,Realised_PnL,Capital_After
LUPIN-MPHASIS,positive,OPEN_SHORT,MPHASIS,LUPIN,2024-02-05,0,1556.601806640625,2399.809326171875,3.2121252710034645,2.08349886195996,10.0,,9990.0
LUPIN-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,2135.199951171875,2769.89990234375,,,12.629613016080752,-1100.0760405444166,8889.923959455584
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2024-02-15,8,1235.333618164062,2599.373779296875,4.0474896226259425,1.9235402156562837,10.0,,9990.0
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2024-09-30,160,1341.809936523438,2951.42529296875,,,11.108147038145509,235.11530387738392,10225.115303877385
DRREDDY-MPHASIS,positive,OPEN_LONG,DRREDDY,MPHASIS,2024-10-01,161,1341.313110351562,2956.5234375,3.8116064120171584,1.7292464477338316,10.225115303877384,,10214.890188573507
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2024-10-25,178,1294.728637695312,2981.474853515625,,,10.090700776711332,-230.7995229646604,9984.090665608846
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2024-10-29,180,1266.666625976562,2963.288330078125,3.94108854723768,1.684630308206563,9.984090665608846,,9974.106574943238
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2024-12-02,202,1214.05029296875,2990.24951171875,,,9.822144661930972,242.96310648966022,10217.069681432899
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2024-12-20,216,1335.18212890625,2892.796875,3.8260958786957713,1.7659500688987881,10.217069681432898,,10206.852611751465
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-05-27,321,1235.365112304688,2488.083740234375,,,9.120457017366354,-341.9141693980224,9864.938442353443
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2025-05-29,323,1240.333618164062,2516.123291015625,3.9767278326921,1.9603448045607281,9.864938442353443,,9855.07350391109
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-06-02,325,1239.836669921875,2442.298583984375,,,9.718240333570401,-152.46389330438657,9702.609610606703
DRREDDY-MPHASIS,positive,OPEN_LONG,DRREDDY,MPHASIS,2025-06-05,328,1282.466430664062,2480.240478515625,3.782792819607249,1.9559816265101688,9.702609610606704,,9692.907000996096
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-06-06,329,1312.575439453125,2495.338623046875,,,9.846037446156982,74.51841150908193,9767.425412505178
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2025-06-17,336,1310.48876953125,2640.63525390625,3.726634534990673,1.8494461508942555,9.767425412505178,,9757.657987092673
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-09-19,402,1321.699951171875,2993.800048828125,,,10.462364659784805,600.9169292598295,10358.574916352502
DRREDDY-MPHASIS,positive,OPEN_LONG,DRREDDY,MPHASIS,2025-09-22,403,1301.400024414062,2852.39990234375,3.979781282475506,1.8157648420617851,10.358574916352502,,10348.21634143615
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-10-27,426,1284.300048828125,2888.699951171875,,,10.356433106012037,-144.3229483009479,10203.893393135202
DRREDDY-MPHASIS,positive,OPEN_SHORT,MPHASIS,DRREDDY,2025-10-29,428,1250.900024414062,2874.60009765625,4.0786206707106105,1.774837028888775,10.203893393135202,,10193.689499742068
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2025-12-29,469,1268.599975585938,2812.300048828125,,,10.165512346293648,-192.9293326282102,10000.760167113858
