Stock_A,Stock_B,Strength
ICICIBANK,COFORGE,0.0021057883
AXISBANK,ALKEM,0.0018739955
SBIN,ALKEM,0.0018146893
BAJFINANCE,KOTAKBANK,0.0018046303
ICICIBANK,ALKEM,0.0017504577
COFORGE,ALKEM,0.0016347304
AXISBANK,COFORGE,0.0015288143
SBILIFE,AUROPHARMA,0.0015122499
KOTAKBANK,BIOCON,0.0013234749
HCLTECH,HDFCBANK,0.0012672348
SBIN,COFORGE,0.0012647616
HCLTECH,SUNPHARMA,0.0012632958
ZYDUSLIFE,COFORGE,0.0012436936
TECHM,HDFCBANK,0.0011806609
LTIM,AUROPHARMA,0.0011579341
ICICIPRULI,ALKEM,0.0011124987
CIPLA,COFORGE,0.0010724294
BIOCON,OFSS,0.001031619
INFY,BIOCON,0.001025738
ALKEM,TORNTPHARM,0.0010062213
